Reviews,Rating
it's Awesome mobile,5
I just loved this💞,5
Good product,5
I am very happy. This is  a good product .it's a simple phone to calling and hearing music only .I liked it. 5 days standby mod,5
nice mobile by samsung comfortable in pocket......i will say go for it,5
Superb .... Product ...,5
Best budget phone for secondary use. #Gold,5
nice mobile phone in low price,5
Gifted to my dad it's simple and best for parents...!!,5
Nice phone Samsung Guru music 2 thanks Flipkart,5
I'm completely satisfied with the product. It is my first Samsung phone and bought only for talking purpose. I have selected golden colour snd it's looks like the same,5
Very good product,5
Such a beautiful and functional device. Display is large for clear visibility of text. Rubber made keyboard easy to press. Gives you comfort while pressing. It has vibration functionality so no need to worry while you use it in silent mode. 800mah battery can easily last for 3-4 days. Dual sim so no need to worry. Excellent signal reception and clear ear piece quality. It has an inbuilt torch which can help you at night. Overall a great device packed with features. Guru 2 is really guru in th...,5
thanks Flipkart.....,5
This is a brilliant choice if you are looking for a basic phone to avoid the distraction from the smartphone.The heilight of this product is the battery life (I got 10 days battery backup) and Call clarity; things we want to be perfect in a basic phone.Apart from that we have music player which will help you enjoy your loneliness....Altogether it was an astonishing purchase for me,5
I bought this phone for my mother and i found that this was the best suitable phone for her . The phone has :Nice lookVery good sound qualityGood battery backupDecent screen sizeGood resolution .,5
"Light weight, very compact, stylish. keypad is awesome ! buttons were made with rubber finish .phone has good grip in hand. speaker loudness is average . earpiece sound quality is good . phone has some basic functions like timer,world clock,stop watch , converter etc...comes with Sudoku game. earphones which comes with the phone was good in both sound quality and loudness . SAR value is very low which is good for long talkers. overall this is best for those who wants a backup phone and those ...",4
It's good mobile.1. Good battery2. Best look3. Nice display4. Best keypad 5. headphone not work this phone6. best charger7. Very good sound quality8. dual sim and memory card support9. warranty card and userguide10. I love this phone,5
"I am very happy .this is good product it,s is a simple phone to calling and hearing masic only I like it. 5 day standby mod",5
nice product perfect phone to use calls ..looking like good charging is good value for money,5
You ll never regret...Excellent call clarity...!!...Go for it. Basic phone...Dont expect much.Battery will last for a week easily.,5
very nice..... phone....loved it👍😍,5
"A brand is brand always.Samsung is the most trustworthy product.Everything is working fine and display looks awesome 👍Anyone can use this without any hesitation.Got adapter, earphones along with phoneFully satisfied with the product 😀",5
"Nice phone, thank you flipkart🙂",5
good product in its range .value for money,5
"I bought this to gift to my mom. it's pretty light weight, slim, good batter backup and overall a nice mobile. The only thing I wish it had was auto update of time and date. Except that the mobile is very good. my mom loves it. (I'll update review after using it for a week or so)",5
Nice product,5
Basic phone. So don't expect more. In these line this is best. Good,4
Awesommmmmmme ....Thanks,5
value for money,5
good product,5
good Mobile,4
nice mobile phone just awsm,5
This phone is value for moneyIts battery back up is good more then 3 or 4 days,5
good phone in this price,4
it's a very Good mobile smart look battery Good one and with headphones 👌👌👌,5
Really good product.,5
good product. long time bettery and  clear voice sounds,5
l Am happygood mobile,5
i like it,5
Nice mobile 👍👍and ossam picture quality,5
This mobile is awesome,5
Vale for money 💰,5
Good camera,4
"In this price point good performance,and camera, Totally worth it.",5
Very good,5
"Best in the market and price, low price but very useful device 😘😀😀😀",5
Nice phone 📱 for this price. All features is good,5
Good,5
Nice phone,5
Good picture quality ❤️,5
I like this product almost all aspects I'm giving my reviews after 7 day Expecially battery it amazing 50 to 20 % drop =6 hours Charging time 2 hour's 15 minutes And also display good performance also OK daily usesCamera OK,4
Good product for a student  .,5
