Reviews,Positive,Negative,Neutral,New sentiments
awesome mobile,0.804,0.0,0.196,positive
loved this💞,0.796,0.0,0.204,positive
good product,0.744,0.0,0.256,positive
happy  good product simple phone calling hearing music liked 5 day standby mod,0.511,0.0,0.489,positive
nice mobile samsung comfortable pocketi say go,0.55,0.0,0.45,positive
superb  product ,0.804,0.0,0.196,positive
best budget phone secondary use gold,0.457,0.0,0.543,positive
nice mobile phone low price,0.354,0.266,0.38,positive
gifted dad simple best parent,0.512,0.0,0.488,positive
nice phone samsung guru music 2 thanks flipkart,0.533,0.0,0.467,positive
im completely satisfied product first samsung phone bought talking purpose selected golden colour snd look like,0.285,0.0,0.715,positive
good product,0.744,0.0,0.256,positive
beautiful functional device display large clear visibility text rubber made keyboard easy press give comfort pressing vibration functionality need worry use silent mode 800mah battery easily last 34 day dual sim need worry excellent signal reception clear ear piece quality inbuilt torch help night overall great device packed feature guru 2 really guru th,0.364,0.077,0.559,positive
thanks flipkart,0.744,0.0,0.256,positive
brilliant choice looking basic phone avoid distraction smartphonethe heilight product battery life got 10 day battery backup call clarity thing want perfect basic phoneapart music player help enjoy lonelinessaltogether astonishing purchase,0.385,0.106,0.509,positive
bought phone mother found best suitable phone  phone nice lookvery good sound qualitygood battery backupdecent screen sizegood resolution ,0.398,0.0,0.602,positive
light weight compact stylish keypad awesome  button made rubber finish phone good grip hand speaker loudness average  earpiece sound quality good  phone basic function like timerworld clockstop watch  converter etccomes sudoku game earphone come phone good sound quality loudness  sar value low good long talker overall best want backup phone ,0.416,0.03,0.554,positive
good mobile1 good battery2 best look3 nice display4 best keypad 5 headphone work phone6 best charger7 good sound quality8 dual sim memory card support9 warranty card userguide10 love phone,0.586,0.0,0.414,positive
happy good product simple phone calling hearing masic like 5 day standby mod,0.503,0.0,0.497,positive
nice product perfect phone use call looking like good charging good value money,0.711,0.0,0.289,positive
never regretexcellent call claritygo basic phonedont expect muchbattery last week easily,0.194,0.0,0.806,positive
nice phoneloved it👍😍,0.583,0.0,0.417,positive
brand brand alwayssamsung trustworthy producteverything working fine display look awesome 👍anyone use without hesitationgot adapter earphone along phonefully satisfied product 😀,0.435,0.0,0.565,positive
nice phone thank flipkart🙂,0.726,0.0,0.274,positive
good product range value money,0.639,0.0,0.361,positive
bought gift mom pretty light weight slim good batter backup overall nice mobile thing wish auto update time date except mobile good mom love ill update review using week,0.476,0.062,0.463,positive
nice product,0.737,0.0,0.263,positive
basic phone dont expect line best good,0.257,0.299,0.444,negative
awesommmmmmme thanks,0.744,0.0,0.256,positive
value money,0.706,0.0,0.294,positive
good product,0.744,0.0,0.256,positive
good mobile,0.744,0.0,0.256,positive
nice mobile phone awsm,0.483,0.0,0.517,positive
phone value moneyits battery back good 3 4 day,0.515,0.0,0.485,positive
good phone price,0.592,0.0,0.408,positive
good mobile smart look battery good one headphone 👌👌👌,0.586,0.0,0.414,positive
really good product,0.615,0.0,0.385,positive
good product long time bettery  clear voice sound,0.478,0.0,0.522,positive
l happygood mobile,0.0,0.0,1.0,neutral
like,1.0,0.0,0.0,positive
nice mobile 👍👍and ossam picture quality,0.359,0.0,0.641,positive
mobile awesome,0.804,0.0,0.196,positive
vale money 💰,0.0,0.0,1.0,neutral
good camera,0.744,0.0,0.256,positive
price point good performanceand camera totally worth,0.505,0.0,0.495,positive
good,1.0,0.0,0.0,positive
best market price low price useful device 😘😀😀😀,0.5,0.148,0.352,positive
nice phone 📱 price feature good,0.655,0.0,0.345,positive
good,1.0,0.0,0.0,positive
nice phone,0.737,0.0,0.263,positive
