Reviews,Rating
awesome mobile,5
loved this💞,5
good product,5
happy  good product simple phone calling hearing music liked 5 day standby mod,5
nice mobile samsung comfortable pocketi say go,5
superb  product ,5
best budget phone secondary use gold,5
nice mobile phone low price,5
gifted dad simple best parent,5
nice phone samsung guru music 2 thanks flipkart,5
im completely satisfied product first samsung phone bought talking purpose selected golden colour snd look like,5
good product,5
beautiful functional device display large clear visibility text rubber made keyboard easy press give comfort pressing vibration functionality need worry use silent mode 800mah battery easily last 34 day dual sim need worry excellent signal reception clear ear piece quality inbuilt torch help night overall great device packed feature guru 2 really guru th,5
thanks flipkart,5
brilliant choice looking basic phone avoid distraction smartphonethe heilight product battery life got 10 day battery backup call clarity thing want perfect basic phoneapart music player help enjoy lonelinessaltogether astonishing purchase,5
bought phone mother found best suitable phone  phone nice lookvery good sound qualitygood battery backupdecent screen sizegood resolution ,5
light weight compact stylish keypad awesome  button made rubber finish phone good grip hand speaker loudness average  earpiece sound quality good  phone basic function like timerworld clockstop watch  converter etccomes sudoku game earphone come phone good sound quality loudness  sar value low good long talker overall best want backup phone ,4
good mobile1 good battery2 best look3 nice display4 best keypad 5 headphone work phone6 best charger7 good sound quality8 dual sim memory card support9 warranty card userguide10 love phone,5
happy good product simple phone calling hearing masic like 5 day standby mod,5
nice product perfect phone use call looking like good charging good value money,5
never regretexcellent call claritygo basic phonedont expect muchbattery last week easily,5
nice phoneloved it👍😍,5
brand brand alwayssamsung trustworthy producteverything working fine display look awesome 👍anyone use without hesitationgot adapter earphone along phonefully satisfied product 😀,5
nice phone thank flipkart🙂,5
good product range value money,5
bought gift mom pretty light weight slim good batter backup overall nice mobile thing wish auto update time date except mobile good mom love ill update review using week,5
nice product,5
basic phone dont expect line best good,4
awesommmmmmme thanks,5
value money,5
good product,5
good mobile,4
nice mobile phone awsm,5
phone value moneyits battery back good 3 4 day,5
good phone price,4
good mobile smart look battery good one headphone 👌👌👌,5
really good product,5
good product long time bettery  clear voice sound,5
l happygood mobile,5
like,5
nice mobile 👍👍and ossam picture quality,5
mobile awesome,5
vale money 💰,5
good camera,4
price point good performanceand camera totally worth,5
good,5
best market price low price useful device 😘😀😀😀,5
nice phone 📱 price feature good,5
good,5
nice phone,5
good picture quality ❤️,5
like product almost aspect im giving review 7 day expecially battery amazing 50 20  drop 6 hour charging time 2 hour 15 minute also display good performance also ok daily usescamera ok,4
good product student  ,5
truly speaking budget smartphone price range camera quality pretty good 👍 performance awesome well battery 🔋 life much satisfactory display quality goodbuild quality also much attractive👌thank 😊,5
good product,4
average  phone heavy user,3
camera quality best loved,4
best wow prisecamera nice day light battery performance slightly weak,5
used one week phone battery backup super camera good price thank flipkart samsung seller😃😃😃,5
really awesome working nice good battery backup camera awesome,5
 normal handset according budget  feel better device,3
beautiful phone 😍 looking awesome ☺️new generation hand set 🥰,5
east west samsung best,5
good phone pricedisplay averagecamera good backfront average battery okback plastic frame average feelperformance good price buy daily driver dont expect heavy gaming overall good phone good price final verdict good phone price,5
mobile fine satisfied think also add screen gard  glass  back cover box better price  👍👌😊,5
good product according pricebattery  design camera good feature missing like screen recording individual call recording overall product nice😊 review using 20 day,4
honestly reviewaftr using 4 week thz amazing  wide range ok fr basic usersgood condition,5
battery v good feature good ,4
fantastic,5
buy phone grandma love small easy use thank flipkart really value money product💞,5
nice,3
good tamil language available hindi english,4
best quality feuitur mobaile better using good product,5
good product,3
nice ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,4
thats basic original product🥰 basic ah use panna samsung ok good mobile nampi vangalam ,5
nice products👍👏😊,5
great super jindabad👍🙂,5
note looking mobile heavy performance mobile writing review using mobile monthcamerathe camera mobile amazing take great quality photo video stabilization amazing overall camera mobile outstanding 55✨️batterysamsung provides battery 6000 mah comfortably last whole day even heavy use 55⚡️performancethe performance mobile amazing user w,5
super,5
good phone worth buy,5
best phone good look,5
nice one,4
phone good regular use come enormous battery 6000 mah support daily errand single charge back camera good think front camera could made better support type c charger strongly recommend use adaptible original charger save battery health avoid heating issue furthermore data old phone get transferred within minute inbuilt app come gorilla glass safeguard yo,5
product good buy 😁,5
worth buying much better chinese brand,5
outstanding phone ❤️,5
heating issue hai baaki sub good,4
excellent product awesome feature  zoom beyond comparisonexcellent display good battery life pen master leaguewhile sticking screen guard kindly make sure glue doesnt leak speaker pen  module may create issue inorder avail offerplease go toaccountcouponsall reward scroll downyou get offer mentioned order eligiblehappy purchasing,5
ordered product prebook period exchanging old op6the product great seller delivered time exchange process flipkart also great return period got galaxy bud 2 watch 4 classic wellthe camera quality excellent battery life great well getting around 10 hour sot 24 hour total time full rechargeoneui one best android experience getoverall great deal,5
fantastic mobile mean best android market without doubt feel far better latest iphone term quality featuresnoted observation 2 week usagepros1 fantastic camera super zoom feature zoom take snap high quality pic located far distance camera performance outstanding low light capture high quality raw pic also2 display 2k plus sound quality superb  cannot much q,5
everything good phone except heating issue also affect battery backup,5
phone awsome camera quality superb pen addiction ultra user display quality bestbattery could better compare iphoneoverall device super fastprice high offer worth🤩🤩,4
best best s23 ultra best phone world right,5
thankful almighty god let buy first flagship dream device work like smoothest butter ever seen throw anything make work like charm,5
wonderful  look wise specially feel like mercedes car feel touch never explain feel hope understand mean  short wow 👌 wonderful,5
product really good flipkart service   able get offer offered phone kindly guide customer proper way get bud watch offer price buying phone,5
one best camera phone 🤳 📱samsung galaxy s23 ultra 💯 🤞,5
product excellent flipkart website terrible way get watch 4 earbuds 2 discounted price mentioned prebooking pagegot phone four day back still way redeem goody,3
awesome product got amazing price flipkart great bunch offer exchange price old mobile device offered flipkart,5
simplicity best design simply superb aspect best device owned far better aspect bitten 🍎,5
im love im  telling  guy budget go,5
best android phone available market beautiful display multimedia amazing sound system excellent processor smooth daily operation multitasking heating issue regular usage gamer cannot comment gaming performance heating issue amazing battery life last almost 2 day medium usage easily 1 day even heavy usage finally camerait going give iphone tough competition awesome image video night photography next level,5
fabulous 👌,5
awesome product good deal,5
top notch specsneed buy charger seperately full support 45wit charge within 60 minute time screen time 67 hoursthe fort nearly 1015 km away home zoom clearty taking pic awesomehad buy one give feature apple portrait good overall great little pricier compare u price,5
round best mobile,5
better phone,5
first time look isnt  impressive touch god feeling device aesthetic look better lot light around phantom black awesomecoming camera better phone say phone includes iphone first time life dont  feel like adding filter edits pic perfect perfect detail perfect colour best resolution though nightmo,5
best smartphone 2023 image video quality amazing,5
excellent picture clarity nice performance,5
batteryphone learn usage pattern patient day u get superb battery lifecameraits excellent mentioned others object detail 100x work properly else become blurry recommened use upto 80xsize ya bulky phone coz fall note seriesdisplay powerful look mobile u realise feel eye never burn even 5 hour non stop usagecharge speed buy origi,5
worth every peny  cam next level jus like performance,5
moved iphone 14 pro ultra display camera ❤️,5
flipkart people please let u know avail smart watch galaxy bud offer,3
great 👍,5
exchanged phone 11 s23 ultraawesome phonemust haveeverything fine phone phone,5
amazing phone stand similar iphone 14 pro max,5
nice mobile priced cost mobile 2122k,5
nice mobile phone thanks samsung,5
phone goodlooks superb beautiful good buyi seen many video proc con according best part phone are1 elegant look body plastic premium quality back part amazing camera part look like s232 excellent display 3 4k video recording 4 good battery bought portronics adapter r 4505 waterproof range 6 speaker output amazing give good sound effect  also equalizer 7 split sc,5
galaxy a34 5g meaningful upgrade predecessor cut unnecessary part improves right area transform wellrounded phone price range strongest characteristic without doubt amazingly long battery life long software support standard midrange market word searching phone would break bank nevertheless last 3 4 year great optionp,5
best phone price camera 👌,5
one good mobile price range,5
best amoled disple nice mobile,5
happy purchase 👍😄,5
nice product nice 👌,5
better,5
good phonepremium hand feel battery slightly drain fast  spec great  ,5
looking good,4
nice camera perform best thing phone design comfortable holding using expecting better camera performance budget okay,5
like performance camera also design 👌,5
using month display best speaker good best multimedia usage  display speaker  battery last upto day medium use          battery drain charging slower side  phone heat playing medium game 15 minute also 30 minute continuous heavy usage processor okayish felt discomfort  camera okayish processing image  quality certainly ,4
heating problem,3
use 1 week mobile camera super mobile using better mobile cost little higher battery get one day wise mobile super,5
satisfied,5
reviewing one month use nice handy phone 64 displaycompact sizecamera 📷 mind blowing 🔥🔥battery life okdisplay amazing victous glass protection best marketfor normal use best phone amazing feature customisation,5
using since last 10 day super happy purchase also prompt delivery flipkartwhat amazing cameradisplay lovely one uireceived immediate android 13 one ui 5 updateoverall happy satisfied purchase,5
great mobile camera exactly like flagship get better mobile range,5
awesome phone loved camera  display awesome beautiful buy without  hesitating,5
best camerasuper display ip 68 rating3 yr android updatesa good rounder mobilebut missing fast charging compare mobile price segment ok,5
awesome camera,5
personally buy phone camera good sometimes feeling need optimisation battery performance also good get refresh rate standard go long day 120 hz drain ur battery easily display also good sound dolby atmos good soo finally experiencing flagship samsung mobile haptic feedback also nice slowly felling love mobile,5
stunning camera performance mind blowing purchase,5
smooth,5
go,5
nice looking 👌 good camera performance good combination exynosbattery slightly better yes worth money,5
amazing camera  brilliant display wonderful ui satisfactory battery performance,5
experience phone totally awesome camera quality superb even 30x zoom camera work wellbest point display completely satisfied product ❤️,5
good 👍👍👍👍👍👍 camera 📸,5
best shot come daylight conditionoverall good phone price rangeconspoor battery backup need recharge device twice day,4
design good camera awesome battery decent normal user battery enough day use phone 46 hour performance good u want phone photography mindblowing go 🥰,4
mind blowing camera,5
amazing phone  love design hand feelcameras good  amazing software experience one ui ❤i confused iphone 13 offer telephoto lens ois endless customisation option android battery much bad last day easilyspeakers 🔊 great loud  surround dolby audio lack bass bitgo youre getting 40k bang buck,5
here  general time camera sample best phone get around 30k ❤,5
fantastic mobile love ❤️ fast delivery thank flipkart,5
photo next level,5
great camera display design handle multitasking ease snapy navigating appsbattery decentyou play game buying phone mainly focused gaming better phone device underrated gem segment ,5
34 month using phone updatedpros1 ive bought 128gb variant 128gb 122gb occupied apps video photo etc still 0 lagg working like brand new2 unbeatable camera price even people ask picture clicked dslr telephoto lens capturing great picture even low light3 good quality display4 feel premium sleek light weight5 fast charging charge phone 1 hour 10 minutes6 ram,5
amazing phone amazing camera overheating problem,5
terrific purchaseat best pricetruly loved camera experience,5
precious product bestest camera fully satisfied thank 🙂,5
love itt 💓,5
wonderful product everything extraordinary,5
superb phone camara a1,5
superb phone im happy purchase camera superb 📷 nice looking display 👌 sound quality good 👍,5
❤️ camera,5
reviewing using morethan 4 month phone handy  use camera fabulous battery life decent moderate usage,5
good phone excellent camera excellent display bit scared network  reception warks like charm im continue getting 4g device good speedbattery  could better u get 65 hr sot easily customization ,5
best phone price performance also good,5
nice phone,5
review using one monthjust one word outstanding masterpiece samsung want get premium phone 50k go without doubt click wonderful photosruns smooth playing gamesno heat issue feel good hand front cam also awesome thank flip kart fast delivery,5
best camera btw little bit heat outdoor use,5
using phone since last 25 daysfirstly good thingsphone camera awesomeand display fantastic even use sunlight also display clearedand performance goodits design okbad thingsonly battery performance normal user ok gaming lover heavy user good battery life,5
excellent camera display performance also awesome thing improved battery im mixed user get 5 hr sot,5
nice performancenice experiencei love ❤️ samsung,5
stunning device excellent display excellent camera decent battery 🔋,5
design great even though plastic back finish matte scratch free aluminium frame excellent camera rely heating farthe con battery performance average price range get application error message frequently half hour time switch phone even update,5
best camera range battery last expected superb design classy look 💜 theme also good selfie camera isnt mark ok,5
camera awesome struggle try record video 60fpsoverall great package,5
camera awesomedisplay like buttery smooth decent battery everything thing good haa flipkart delivers amazing fast camera shot,5
looking phone bbd lowest price time didnt get lowest price lower price 33k even price device worth lotlavender color last choice option stock go believe color best even back plastic doesnt look cheap verdictcamera  5display  5battery  35performance  45build  45bonus get water dust resistance al,5
camera performance way goodand impressive resultonly one con battery,5
wonderful camera performance also goodgreat displaybattery backup average great phone love photography watching video scrolling social medium get 4 year android update 5 year security updategreat deal overall recommended heavy gamers,5
dont wait buy device great deal bbd everything working fine completely satisfied device 👌 nd dont worry battery nd heating issue normal  mine working absolutely fine update battery easily last till mid evening graduant  employee perfectfull paisa wasool,5
good camera quality,5
decent camera quality adaptor charger shall provided phone ordered samsung 25w charger much impressed super charing feature phone get charged fast battery last long diaplay amazing soft smooth screen fast performance overall like phone hope durable,5
awesome product fatherinlow happy mobile  easy use  light weight design happy see happy,5
photo cool 😎 👌 ☺️ ✨️  charging slow process,4
phone good however cant get suitable back cover protect phone flipkart model atleast agency provided back cover along phone doesnt cost much,4
superb mobile good productbattery             55camera            45display            45performance   455worth✌,5
phone good heavy camera 710battery 1010design 410performance 810connectivity 710,4
nice product satisfied phone looking wonderful nice phone,5
good picture  quality,5
review day useprosdisplay  pls lcd brighter tft lcddesign  plastic built glassy lookvariant  6 gb smoother 4 gbchipset  exynos 1330 battery efficient latest 5nm technology chip multitaskingbattery  6000 mah lasting 2 day normal usagecamera  primary selfie decent price rangesoftware  one ui 51 android 13 customize many thing unique featurescons box get,5
battery 5volt 155 amp charging time 4 00 hr 75 watt charger  please dont  encourage  product,3
budget product phone,4
good 😊👍,5
nice battery backup good design display also okay performance ramrom ok toophone good compare valueformoney 👍,4
overall good smartphone,4
nice product 👌natural view amazing 👏,5
tipe c battery 🔋 best calling super nice 👍👍👍👍👍🙂🙂🙂🙂🙂 good 💯💯💯😊😊,5
excellent phone made india morethen 5 start rating,5
performance super product worth,5
nice product samsungfor elderly guy who multitasking comparatively lessoverall performance good rangerecommended 👍,5
